881,341107872  3,58407079646e-25
885,422740525  4,51327433628e-25
890,087463557  5,44247787611e-25
893,586005831  6,2389380531e-25
899,416909621  7,03539823009e-25
905,247813411  7,69911504425e-25
910,495626822  8,23008849558e-25
915,160349854  8,09734513274e-25
918,075801749  8,09734513274e-25
920,991253644  7,69911504425e-25
926,239067055  6,76991150442e-25
930,320699708  5,8407079646e-25
933,236151603  5,04424778761e-25
938,483965015  3,98230088496e-25
942,565597668  3,18584070796e-25
944,897959184  3,18584070796e-25
947,2303207  2,65486725664e-25
948,979591837  2,52212389381e-25
954,227405248  2,38938053097e-25
956,559766764  2,38938053097e-25
960,058309038  2,52212389381e-25
963,556851312  2,65486725664e-25
965,306122449  3,18584070796e-25
968,221574344  4,24778761062e-25
969,387755102  5,44247787611e-25
969,970845481  6,76991150442e-25
970,55393586  7,96460176991e-25
971,137026239  9,42477876106e-25
971,720116618  1,22123893805e-24
972,886297376  1,7389380531e-24
973,469387755  1,88495575221e-24
974,052478134  2,13716814159e-24
974,635568513  2,42920353982e-24
975,801749271  2,62831858407e-24
976,967930029  2,36283185841e-24
977,551020408  2,15044247788e-24
978,134110787  1,8185840708e-24
978,717201166  1,56637168142e-24
979,883381924  1,22123893805e-24
980,466472303  9,02654867257e-25
981,049562682  7,69911504425e-25
982,21574344  4,64601769912e-25
983,381924198  3,18584070796e-25
984,548104956  2,25663716814e-25
988,629737609  1,46017699115e-25
994,460641399  1,06194690265e-25
1000,87463557  9,29203539823e-26
1006,70553936  9,29203539823e-26
1011,95335277  7,96460176991e-26
1017,78425656  7,96460176991e-26
1023,61516035  6,63716814159e-26
1030,02915452  5,30973451327e-26
1036,44314869  2,65486725664e-26
1041,6909621  2,65486725664e-26
1048,10495627  1,32743362832e-26
1053,35276968  1,32743362832e-26
1058,60058309  1,32743362832e-26
1064,43148688  0
1140,23323615  0
